Diameter,run,Time,Stimulus
62.175000000000004,3,12.16,red
62.175000000000004,3,12.18,red
62.175000000000004,3,12.200000000000001,red
62.205,3,12.22,red
62.205,3,12.24,red
62.345,3,12.26,red
62.415,3,12.280000000000001,red
62.505,3,12.3,red
62.505,3,12.32,red
62.505,3,12.34,red
62.51,3,12.36,red
62.51,3,12.38,red
62.51,3,12.4,red
62.83500000000001,3,12.42,red
62.85,3,12.44,red
62.85,3,12.46,red
62.83500000000001,3,12.48,red
62.85,3,12.5,red
62.85,3,12.52,red
62.855,3,12.540000000000001,red
63.07000000000001,3,12.56,red
63.07000000000001,3,12.58,red
63.315,3,12.6,red
63.28,3,12.620000000000001,red
63.28,3,12.64,red
63.28,3,12.66,red
63.07000000000001,3,12.68,red
62.865,3,12.700000000000001,red
62.865,3,12.72,red
62.855,3,12.74,red
62.855,3,12.76,red
62.85,3,12.780000000000001,red
62.855,3,12.8,red
62.865,3,12.82,red
62.865,3,12.84,red
62.85,3,12.86,red
62.85,3,12.88,red
62.81,3,12.9,red
62.739999999999995,3,12.92,red
62.37,3,12.94,red
62.37,3,12.96,red
62.739999999999995,3,12.98,red
62.739999999999995,3,13,red
62.37,3,13.02,red
62.3,3,13.040000000000001,red
62.3,3,13.06,red
62.105,3,13.08,red
61.745,3,13.1,red
61.745,3,13.120000000000001,red
61.724999999999994,3,13.14,red
61.745,3,13.16,red
61.745,3,13.18,red
61.745,3,13.200000000000001,red
61.745,3,13.22,red
61.745,3,13.24,red
61.724999999999994,3,13.26,red
61.745,3,13.280000000000001,red
61.745,3,13.3,red
61.745,3,13.32,red
61.724999999999994,3,13.34,red
61.724999999999994,3,13.36,red
61.575,3,13.38,red
61.400000000000006,3,13.4,red
61.575,3,13.42,red
61.635000000000005,3,13.44,red
61.575,3,13.46,red
61.575,3,13.48,red
61.575,3,13.5,red
61.605000000000004,3,13.52,red
61.635000000000005,3,13.540000000000001,red
61.605000000000004,3,13.56,red
61.575,3,13.58,red
61.575,3,13.6,red
61.575,3,13.620000000000001,red
61.575,3,13.64,red
61.575,3,13.66,red
61.605000000000004,3,13.68,red
61.635000000000005,3,13.700000000000001,red
61.95,3,13.72,red
61.635000000000005,3,13.74,red
61.635000000000005,3,13.76,red
61.635000000000005,3,13.780000000000001,red
61.605000000000004,3,13.8,red
61.635000000000005,3,13.82,red
61.775,3,13.84,red
61.635000000000005,3,13.860000000000001,red
61.620000000000005,3,13.88,red
61.635000000000005,3,13.9,red
61.705,3,13.92,red
61.635000000000005,3,13.94,red
61.705,3,13.96,red
61.775,3,13.98,red
61.8625,3,14,red
61.775,3,14.02,red
61.775,3,14.04,red
61.605000000000004,3,14.059999999999999,red
61.775,3,14.080000000000002,red
61.775,3,14.100000000000001,red
61.775,3,14.120000000000001,red
61.775,3,14.14,red
61.775,3,14.16,red
61.95,3,14.18,red
61.775,3,14.2,red
61.775,3,14.219999999999999,red
61.775,3,14.240000000000002,red
61.775,3,14.260000000000002,red
61.775,3,14.280000000000001,red
61.775,3,14.3,red
62.08,3,14.32,red
62.08,3,14.34,red
62.290000000000006,3,14.36,red
62.36,3,14.379999999999999,red
62.36,3,14.399999999999999,red
62.36,3,14.420000000000002,red
62.370000000000005,3,14.440000000000001,red
62.365,3,14.46,red
62.370000000000005,3,14.48,red
62.395,3,14.5,red
62.42,3,14.52,red
62.395,3,14.54,red
62.370000000000005,3,14.559999999999999,red
62.395,3,14.580000000000002,red
62.370000000000005,3,14.600000000000001,red
62.370000000000005,3,14.620000000000001,red
62.405,3,14.64,red
62.405,3,14.66,red
62.42,3,14.68,red
62.46000000000001,3,14.7,red
62.46000000000001,3,14.719999999999999,red
62.46000000000001,3,14.740000000000002,red
62.42,3,14.760000000000002,red
62.46000000000001,3,14.780000000000001,red
62.46000000000001,3,14.8,red
62.46000000000001,3,14.82,red
62.46000000000001,3,14.84,red
62.42,3,14.86,red
62.42,3,14.879999999999999,red
62.42,3,14.899999999999999,red
62.415000000000006,3,14.920000000000002,red
62.405,3,14.940000000000001,red
62.385000000000005,3,14.96,red
61.99,3,14.98,red
61.89,3,15,red
61.82,3,15.02,red
61.82,3,15.04,red
61.77,3,15.059999999999999,red
61.745000000000005,3,15.080000000000002,red
61.695,3,15.100000000000001,red
61.745000000000005,3,15.120000000000001,red
61.745000000000005,3,15.14,red
61.745000000000005,3,15.16,red
61.695,3,15.18,red
61.695,3,15.2,red
61.625,3,15.219999999999999,red
61.565,3,15.240000000000002,red
61.495,3,15.260000000000002,red
61.46000000000001,3,15.280000000000001,red
61.46000000000001,3,15.3,red
61.235,3,15.32,red
61.205,3,15.34,red
61.205,3,15.36,red
61.205,3,15.379999999999999,red
61.235,3,15.400000000000002,red
61.235,3,15.420000000000002,red
61.235,3,15.440000000000001,red
61.31,3,15.46,red
61.235,3,15.48,red
61.235,3,15.5,red
61.235,3,15.52,red
61.235,3,15.54,red
61.31,3,15.559999999999999,red
61.31,3,15.580000000000002,red
61.565,3,15.600000000000001,red
61.31,3,15.620000000000001,red
61.235,3,15.64,red
61.31,3,15.66,red
61.31,3,15.68,red
61.31,3,15.7,red
61.31,3,15.719999999999999,red
61.235,3,15.740000000000002,red
61.235,3,15.760000000000002,red
61.31,3,15.780000000000001,red
61.31,3,15.8,red
61.345,3,15.82,red
61.345,3,15.84,red
61.345,3,15.86,red
61.345,3,15.879999999999999,red
61.43,3,15.900000000000002,red
61.474999999999994,3,15.920000000000002,red
61.474999999999994,3,15.940000000000001,red
61.474999999999994,3,15.96,red
61.43,3,15.98,red
61.43,3,16,red
61.43,3,16.02,red
61.345,3,16.04,red
61.36,3,16.06,red
61.43,3,16.080000000000002,red
61.43,3,16.1,red
61.43,3,16.12,red
61.43,3,16.14,red
61.43,3,16.16,red
61.36,3,16.18,red
61.43,3,16.2,red
61.43,3,16.22,red
61.43,3,16.240000000000002,red
61.36,3,16.26,red
61.36,3,16.28,red
61.36,3,16.3,red
61.849999999999994,3,16.32,red
61.910000000000004,3,16.34,red
61.910000000000004,3,16.36,red
61.910000000000004,3,16.38,red
